"codigo","TUSS","TUSSxRol","procedimento","RN","Vigencia","OD","AMB","HCO","HSO","PAC","DUT","subgrupo","grupo","capitulo"
10101012,"Consulta em consultório (no horário normal ou preestabelecido)","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10101012,"Consulta em consultório (no horário normal ou preestabelecido)","SIM","ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10101012,"Consulta em consultório (no horário normal ou preestabelecido)","SIM","CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10101020,"Consulta em domicílio","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10101039,"Consulta em pronto socorro","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10102019,"Visita hospitalar (paciente internado)","SIM","VISITA HOSPITALAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10102019,"Visita hospitalar (paciente internado)","SIM","ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO",NA,"109","CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10103015,"Atendimento ao recém-nascido em berçário","SIM","ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",NA,NA,NA,NA,"HCO",NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10103023,"Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)","SIM","ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",NA,NA,NA,NA,"HCO",NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10103031,"Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco)","SIM","ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",NA,NA,NA,NA,"HCO",NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10104011,"Atendimento do intensivista diarista (por dia e por paciente)","SIM","ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10104020,"Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente)","SIM","ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10105034,"Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico","SIM","TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10105042,"Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico","SIM","TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10105050,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10105069,"Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10105077,"Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco","SIM","ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106014,"Aconselhamento genético","SIM","ACONSELHAMENTO GENÉTICO",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106030,"Atendimento ao familiar do adolescente","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106049,"Atendimento pediátrico a gestantes (3º trimestre)","SIM","ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE)",NA,NA,NA,"AMB","HCO",NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106065,"Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação da CNH (Carteira Nacional de Habilitação)","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106073,"Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106090,"Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8","SIM","Conforme CONSU nº 8 - Que dispõe sobre mecanismos de regulação nos Planos e Seguros Privados de Assistência à Saúde",NA,NA,NA,"AMB","HCO","HSO",NA,NA,NA,NA,NA
10106103,"Perícia médica","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106111,"Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pelas Secretaria da Receita Federal e da Fazenda Estadual, a quem fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106120,"Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106138,"Prova de direção veicular em banca especial - Avaliação Clínica durante a prova de direção veicular procedida por dois médicos simultaneamente","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106146,"Atendimento ambulatorial em puericultura","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106162,"Atendimento para avaliação oftalmológica ao recém-nascido em berçário ou UTI","SIM","ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
10106162,"Atendimento para avaliação oftalmológica ao recém-nascido em berçário ou UTI","SIM","VISITA HOSPITALAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101015,"Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação","SIM","ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101023,"Análise da proporcionalidade cineantropométrica","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101074,"Avaliação nutrológica (inclui consulta)","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101082,"Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta)","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101090,"Avaliação da composição corporal por antropometria (inclui consulta)","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101104,"Avaliação da composição corporal por bioimpedanciometria","SIM","BIOIMPEDANCIOMETRIA",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"PROCEDIMENTOS","EXAMES ESPECÍFICOS","PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS"
20101112,"Avaliação da composição corporal por pesagem hidrostática","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101120,"Controle anti-doping (por período de 2 horas) - durante competições","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101139,"Controle anti-doping (por período de 2 horas) - fora de competições","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101155,"Prestação de serviços em delegações ou competições esportivas","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101171,"Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária","SIM","ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL",NA,NA,NA,NA,"HCO","HSO",NA,NA,"AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101198,"Teste e adaptação de lente de contato (sessão) - binocular","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101201,"Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador multissítio/ressincronizador, desfibrilador ou monitor de eventos)","SIM","AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101210,"Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações","SIM","ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101228,"Acompanhamento clínico ambulatorial pós-transplante de medula óssea","SIM","ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA",NA,NA,NA,NA,"HCO","HSO",NA,NA,"AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101236,"Avaliação geriátrica ampla - AGA","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101244,"Avaliação e seleção para implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101252,"Ativação do implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101260,"Mapeamento e balanceamento dos eletrodos do implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101279,"Potencial evocado eletricamente no sistema auditivo central","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101287,"Reflexo estapediano eliciado eletricamente unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101287,"Reflexo estapediano eliciado eletricamente unilateral","SIM","IMPEDANCIOMETRIA (MEDIDAS DE IMITÂNCIA ACÚSTICA)",NA,NA,NA,"AMB","HCO","HSO",NA,NA,"SISTEMA NERVOSO","ELETROFISIOLÓGICOS / MECÂNICOS E FUNCIONAIS","PROCEDIMENTOS DIAGNÓSTICOS E TERAPÊUTICOS"
20101295,"Troca do processador de áudio do implante coclear unilateral","SIM","IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO","PAC","33","ORELHA INTERNA","ORELHA","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101309,"Avaliação clínica pré coleta de líquor no teste de punção lombar única ou repetida – TAP test","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101317,"Avaliação clínica pós coleta de líquor no teste de punção lombar única ou repetida – TAP test","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101325,"Avaliação e diagnóstico de morte encefálica - exame clínico que confirme coma não perceptivo e ausência de função tronco encefálico","SIM","VISITA HOSPITALAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101325,"Avaliação e diagnóstico de morte encefálica - exame clínico que confirme coma não perceptivo e ausência de função tronco encefálico","SIM","Conforme Lei Federal nº 9.434/1997; Decreto da Presidência da República nº 9.175/2017; Resolução  CFM 2.173/2017.",NA,NA,NA,"AMB","HCO","HSO",NA,NA,NA,NA,NA
20101333,"Avaliação e diagnóstico de morte encefálica - teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios","SIM","Conforme Lei Federal nº 9.434/1997; Decreto da Presidência da República nº 9.175/2017; Resolução  CFM 2.173/2017.",NA,NA,NA,"AMB","HCO","HSO",NA,NA,NA,NA,NA
20101333,"Avaliação e diagnóstico de morte encefálica - teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios","SIM","VISITA HOSPITALAR",NA,NA,NA,NA,"HCO","HSO",NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101341,"Avaliação neurológica ampla - ANA","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101350,"Programação de dispositivos neurofuncionais","SIM","IMPLANTE INTRA-TECAL DE BOMBAS PARA INFUSÃO DE FÁRMACOS (INCLUI MEDICAMENTO) - COM DIRETRIZ DE UTILIZAÇÃO",NA,NA,NA,NA,"HCO","HSO",NA,"45","ENCÉFALO","SISTEMA NERVOSO - CENTRAL E PERIFÉRICO","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101350,"Programação de dispositivos neurofuncionais","SIM","IMPLANTE DE ELETRODOS E/OU GERADOR PARA ESTIMULAÇÃO MEDULAR (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO",NA,"37","MEDULA","SISTEMA NERVOSO - CENTRAL E PERIFÉRICO","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101350,"Programação de dispositivos neurofuncionais","SIM","IMPLANTE DE GERADOR PARA NEUROESTIMULAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO)",NA,NA,NA,NA,"HCO","HSO",NA,"39","NERVOS PERIFÉRICOS","SISTEMA NERVOSO - CENTRAL E PERIFÉRICO","PROCEDIMENTOS CIRÚRGICOS E INVASIVOS"
20101368,"Teste de provocação oral (TPO) com alimentos","SIM","TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS  (COM DIRETRIZ DE UTILIZAÇÂO)","536/2022","44687",NA,"AMB","HCO","HSO",NA,"152","AVALIAÇÕES/ACOMPANHAMENTOS","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20101376,"Teste cutâneo de puntura ou intradérmico com medicamentos (até 3 drogas)","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101384,"Teste de provocação com medicamentos via oral","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101392,"Teste de provocação com medicamentos via injetável","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101406,"Acompanhamento clínico ambulatorial pós-cirurgia fistulizante antoglaucomatosa - por avaliação do 11º ao 30º dia, até três avaliações","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101414,"Acompanhamento clínico ambulatorial do tabagista, por avaliação, do 1º ao 90º dia, até 7 avaliações clínicas","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101422,"Monoximetria não invasiva (Coex)","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20101430,"Acompanhamento clínico ambulatorial do pós-operatório de cirurgia de catarata congênita ou glaucoma congênito, por avaliação do 11º ao 30º dias, até 3 avaliações, em consultório","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101449,"Acompanhamento clínico ambulatorial da retinopatia da prematuridade por avaliação do 1º ao 30º dia, até 5 avaliações, em consultório","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20101457,"Acompanhamento clínico ambulatorial de uveítes anteriores agudas e/ou coriorrenites focais ou disseminadas em atividade por avaliação do 1º ao 30º dia, até a5 avaliações, em consultório","SIM","CONSULTA MÉDICA",NA,NA,NA,"AMB",NA,NA,NA,NA,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES","PROCEDIMENTOS GERAIS","PROCEDIMENTOS GERAIS"
20102011,"Holter de 24 horas - 2 ou mais canais - analógico","SIM","HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL",NA,NA,NA,"AMB",NA,NA,NA,NA,"MONITORIZAÇÕES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20102020,"Holter de 24 horas - 3 canais - digital","SIM","HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL",NA,NA,NA,"AMB",NA,NA,NA,NA,"MONITORIZAÇÕES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20102038,"Monitorização ambulatorial da pressão arterial - MAPA (24 horas)","SIM","MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO",NA,NA,NA,"AMB",NA,NA,NA,"56","MONITORIZAÇÕES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20102062,"Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER)","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102070,"Tilt teste","SIM","TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO",NA,NA,NA,"AMB","HCO","HSO","PAC","67","MONITORIZAÇÕES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES"
20102089,"Sistema Holter - 12 horas - 1 canal","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102097,"Sistema Holter - 12 horas - 2 ou mais canais","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102100,"Sistema Holter - 24 horas - 1 canal","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102119,"Monitorização eletrocardiográfica programada com transcrição - não contínua","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102127,"Holter 7 dias","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20102135,"Holter cerebral","NÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
